epanechnikov, chebyshev, variable, 461.0, 0.8203769611404009
epanechnikov, chebyshev, variable, 481.0, 0.8187842531855538
epanechnikov, chebyshev, variable, 501.0, 0.8174907938745024
epanechnikov, chebyshev, variable, 521.0, 0.8158175823720023
epanechnikov, chebyshev, variable, 541.0, 0.8110728916130536
epanechnikov, manhattan, variable, 1.0, 0.9758322555187351
epanechnikov, manhattan, variable, 21.0, 0.9637419178117151
epanechnikov, manhattan, variable, 41.0, 0.9522596600680836
epanechnikov, manhattan, variable, 61.0, 0.9455566034245819
epanechnikov, manhattan, variable, 81.0, 0.9359727671674324
epanechnikov, manhattan, variable, 101.0, 0.9248394340355369
epanechnikov, manhattan, variable, 121.0, 0.9159278947234571
epanechnikov, manhattan, variable, 141.0, 0.9112420441397803
epanechnikov, manhattan, variable, 161.0, 0.9034713864711978
epanechnikov, manhattan, variable, 181.0, 0.8981845788998699
epanechnikov, manhattan, variable, 201.0, 0.8959178037721252
epanechnikov, manhattan, variable, 221.0, 0.893954555608897
epanechnikov, manhattan, variable, 241.0, 0.8925660324292004
epanechnikov, manhattan, variable, 261.0, 0.8908038966871301
epanechnikov, manhattan, variable, 281.0, 0.8908381167571022
epanechnikov, manhattan, variable, 301.0, 0.8900074511940516
epanechnikov, manhattan, variable, 321.0, 0.8899450081932362
epanechnikov, manhattan, variable, 341.0, 0.8888632732247067
epanechnikov, manhattan, variable, 361.0, 0.8881871343654483
epanechnikov, manhattan, variable, 381.0, 0.8876928934917508
epanechnikov, manhattan, variable, 401.0, 0.88738813278074
epanechnikov, manhattan, variable, 421.0, 0.8869514476062177
epanechnikov, manhattan, variable, 441.0, 0.8868138389895894
epanechnikov, manhattan, variable, 461.0, 0.8859580269663563
epanechnikov, manhattan, variable, 481.0, 0.8849912444624132
epanechnikov, manhattan, variable, 501.0, 0.8846888667391262
epanechnikov, manhattan, variable, 521.0, 0.8843279406145579
epanechnikov, manhattan, variable, 541.0, 0.8831913881645349
cosine, euclidean, variable, 1.0, 0.9756328792947024
cosine, euclidean, variable, 21.0, 0.962442268835464
cosine, euclidean, variable, 41.0, 0.9492493435167613
cosine, euclidean, variable, 61.0, 0.9436296212110822
cosine, euclidean, variable, 81.0, 0.9333884311849807
cosine, euclidean, variable, 101.0, 0.9222819245359238
cosine, euclidean, variable, 121.0, 0.9184850007029638
cosine, euclidean, variable, 141.0, 0.9074299689209768
cosine, euclidean, variable, 161.0, 0.8993726173393237
cosine, euclidean, variable, 181.0, 0.8933304584259474
cosine, euclidean, variable, 201.0, 0.8885906067932468
cosine, euclidean, variable, 221.0, 0.8862694526744455
cosine, euclidean, variable, 241.0, 0.8837103007564369
cosine, euclidean, variable, 261.0, 0.881919875134056
cosine, euclidean, variable, 281.0, 0.880106035478728
cosine, euclidean, variable, 301.0, 0.8789781230892947
cosine, euclidean, variable, 321.0, 0.8781811906618382
cosine, euclidean, variable, 341.0, 0.8758422104801782
cosine, euclidean, variable, 361.0, 0.874899822087729
cosine, euclidean, variable, 381.0, 0.8732574304737586
cosine, euclidean, variable, 401.0, 0.8691627826493491
cosine, euclidean, variable, 421.0, 0.8659832377641149
cosine, euclidean, variable, 441.0, 0.8639952392926874
cosine, euclidean, variable, 461.0, 0.8611570379619854
cosine, euclidean, variable, 481.0, 0.8599150480933717
cosine, euclidean, variable, 501.0, 0.8574359922082656
cosine, euclidean, variable, 521.0, 0.8567156905770044
cosine, euclidean, variable, 541.0, 0.8549419127978789
cosine, chebyshev, variable, 1.0, 0.9682733616035923
cosine, chebyshev, variable, 21.0, 0.9600372076227465
cosine, chebyshev, variable, 41.0, 0.9459244734289104
cosine, chebyshev, variable, 61.0, 0.933520827431832
cosine, chebyshev, variable, 81.0, 0.923825443825208
cosine, chebyshev, variable, 101.0, 0.9110618455683391
cosine, chebyshev, variable, 121.0, 0.9001877599420138
cosine, chebyshev, variable, 141.0, 0.8902170929596467
cosine, chebyshev, variable, 161.0, 0.8856714337565319
cosine, chebyshev, variable, 181.0, 0.8819593606022273
cosine, chebyshev, variable, 201.0, 0.8790697167982421
cosine, chebyshev, variable, 221.0, 0.8753416623971461
cosine, chebyshev, variable, 241.0, 0.8725450562396996
cosine, chebyshev, variable, 261.0, 0.8683148287007926
cosine, chebyshev, variable, 281.0, 0.8585410705571758
cosine, chebyshev, variable, 301.0, 0.8534216547178992
cosine, chebyshev, variable, 321.0, 0.8493426263065736
cosine, chebyshev, variable, 341.0, 0.8451944054406773
cosine, chebyshev, variable, 361.0, 0.8376106749791863
cosine, chebyshev, variable, 381.0, 0.8341106223705694
cosine, chebyshev, variable, 401.0, 0.8296284723915567
cosine, chebyshev, variable, 421.0, 0.8257177273696169
cosine, chebyshev, variable, 441.0, 0.8248711902571861
cosine, chebyshev, variable, 461.0, 0.8228484670358875
cosine, chebyshev, variable, 481.0, 0.8214193247367593
cosine, chebyshev, variable, 501.0, 0.82090184716588
cosine, chebyshev, variable, 521.0, 0.8184614910218431
